Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
8923efe8-8c45-458c-a39b-2c791171def3,585023,Landing Page Submission,Google,No,No,1,4.0,1674,4.0,SMS Sent,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Select,Other Cities of Maharashtra,02.Medium,01.High,15.0,17.0,No,No,SMS Sent
93c84daf-92e6-4014-a30e-1e5a10273535,589340,Landing Page Submission,Organic Search,No,No,1,5.0,1223,5.0,Approached upfront,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Select,Thane & Outskirts,01.High,01.High,16.0,17.0,No,Yes,Modified
baf2740b-240a-4af2-9a84-00b786862bf0,583234,Landing Page Submission,Direct Traffic,Yes,No,0,5.0,131,1.25,Page Visited on Website,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Potential Lead,Thane & Outskirts,01.High,01.High,16.0,19.0,No,Yes,Modified
c540927f-116c-4e48-800a-ebefa82ce650,623780,API,Olark Chat,No,No,1,3.0,62,3.0,Email Opened,India,"Banking, Investment And Insurance",Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Not Sure,No,No,Select,Mumbai,02.Medium,02.Medium,14.0,16.0,No,No,Modified
4377b169-87ec-484c-abf8-c06b3ec21e65,650918,Landing Page Submission,Google,No,No,1,6.0,1966,6.0,Email Opened,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Other Cities of Maharashtra,02.Medium,01.High,13.0,17.0,No,No,Email Opened
28080408-51de-4af7-9393-ac59b1a67494,647212,Landing Page Submission,Referral Sites,No,No,1,9.0,1524,9.0,SMS Sent,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,14.0,17.0,No,Yes,SMS Sent
5eee1657-5518-47c5-be8a-fa6c756e3ef9,583981,Landing Page Submission,Direct Traffic,No,No,1,2.0,1239,2.0,SMS Sent,India,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,14.0,19.0,No,Yes,Modified
97a5c0eb-02b5-462b-b31f-8b04d6dc097f,643534,API,Google,Yes,No,0,3.0,202,3.0,Page Visited on Website,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Worst,No,No,Other Leads,Select,01.High,02.Medium,16.0,14.0,No,No,Modified
696eeb71-28d1-4f4c-a5ea-03682281589f,581723,Landing Page Submission,Direct Traffic,No,No,0,9.0,233,2.25,Olark Chat Conversation,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Leads,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Modified
1dea243c-52f5-4410-86db-8d1ef8b9be2c,650952,API,Google,No,No,0,7.0,1762,7.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
